City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dikson,73.5069,80.5464,-2.03,85,100,5.93,RU,1682168470
1,half moon bay,37.4636,-122.4286,12.95,90,100,6.17,US,1682168470
2,ponta do sol,32.6667,-17.1,21.35,69,100,0.72,PT,1682168471
3,barrow,71.2906,-156.7887,-20.99,84,0,5.66,US,1682168471
4,japura,-0.3167,102.35,24.63,96,100,1.36,ID,1682168472
5,klaksvik,62.2266,-6.589,7.51,75,100,13.51,FO,1682168472
6,ahipara,-35.1667,173.1667,17.61,93,84,3.74,NZ,1682168473
7,ilulissat,69.2167,-51.1,-1.99,86,100,1.54,GL,1682168474
8,iqaluit,63.7506,-68.5145,-0.17,95,98,8.49,CA,1682168474
9,badlan,11.1414,122.52,26.86,85,16,2.03,PH,1682168475
10,atuona,-9.8,-139.0333,27.1,81,35,6.15,PF,1682168475
11,wamba,8.9333,8.6,38.38,28,74,3.49,NG,1682168476
12,ushuaia,-54.8,-68.3,3.76,95,100,5.26,AR,1682168477
13,umba,66.6871,34.3429,-0.44,74,100,4.69,RU,1682168478
14,mataura,-46.1927,168.8643,11.38,89,100,1.6,NZ,1682168478
15,mahibadhoo,3.7833,72.9667,29.12,70,12,2.62,MV,1682168479
16,bluff,-46.6,168.3333,11.56,74,77,9.16,NZ,1682168480
17,zastron,-30.3023,27.084,16.95,16,100,9.22,ZA,1682168481
18,hermanus,-34.4187,19.2345,18.22,63,100,4.77,ZA,1682168481
19,mogapinyana,-22.3667,27.6,32.55,18,13,1.63,BW,1682168482
20,kysyl-syr,63.8986,122.7617,-8.35,96,93,1.29,RU,1682168482
21,korla,41.7597,86.1469,16.43,27,100,4.58,CN,1682168483
22,rikitea,-23.1203,-134.9692,25.98,89,96,8.92,PF,1682168483
23,nanortalik,60.1432,-45.2371,2.22,69,26,1.5,GL,1682168484
24,avarua,-21.2078,-159.775,21.03,94,20,1.03,CK,1682168219
25,dongying,37.4564,118.4856,11.04,56,100,2.68,CN,1682168485
26,lompoc,34.6391,-120.4579,14.41,100,20,3.6,US,1682168485
27,hithadhoo,-0.6,73.0833,29.06,71,100,0.54,MV,1682168486
28,verkhnyaya inta,65.9811,60.3094,1.03,96,100,2.51,RU,1682168487
29,mar del plata,-38.0023,-57.5575,15.53,77,0,2.24,AR,1682168420
30,punta arenas,-53.15,-70.9167,5.62,72,100,8.19,CL,1682168488
31,kishi,9.0833,3.85,35.68,38,100,3.2,NG,1682168488
32,lorengau,-2.0226,147.2712,27.74,78,96,2.51,PG,1682168489
33,albany,42.6001,-73.9662,13.66,76,100,3.58,US,1682168489
34,kieta,-6.2167,155.6333,26.77,83,32,1.93,PG,1682168490
35,krasnyy chikoy,50.3643,108.7512,-2.04,50,40,0.16,RU,1682168492
36,cumana,10.4635,-64.1775,25.04,87,100,1.43,VE,1682168492
37,fortuna,40.5982,-124.1573,10.75,96,100,2.15,US,1682168494
38,novobiryusinskiy,56.9578,97.7076,-1.68,91,16,1.4,RU,1682168494
39,lebu,-37.6167,-73.65,12.24,88,8,5.7,CL,1682168495
40,busselton,-33.65,115.3333,16.82,55,0,3.18,AU,1682168495
41,kapaa,22.0752,-159.319,22.83,93,75,2.57,US,1682168496
42,noumea,-22.2763,166.4572,26.67,99,0,2.58,NC,1682167799
43,dhekiajuli,26.7,92.5,24.73,52,0,2.25,IN,1682168497
44,pangnirtung,66.1451,-65.7125,0.99,84,100,1.85,CA,1682168498
45,port hardy,50.6996,-127.4199,8.1,87,100,6.69,CA,1682168498
46,torbay,47.6666,-52.7314,3.27,96,100,9.39,CA,1682168499
47,namatanai,-3.6667,152.4333,26.72,81,100,4.09,PG,1682168499
48,puerto escondido,15.85,-97.0667,26.17,78,100,0.99,MX,1682168500
49,sur,22.5667,59.5289,30.12,59,82,1.59,OM,1682168500
50,bambous virieux,-20.3428,57.7575,28.14,74,40,2.57,MU,1682168501
51,new norfolk,-42.7826,147.0587,17.18,66,100,4.92,AU,1682168501
52,bandundu,-3.3167,17.3667,23.11,95,100,2.25,CD,1682168502
53,ancud,-41.8697,-73.8203,9.2,86,0,1.36,CL,1682168502
54,yeppoon,-23.1333,150.7333,21.88,73,84,9.75,AU,1682168481
55,praya,14.9215,-23.5087,23.73,69,7,7.87,CV,1682168417
56,bredasdorp,-34.5322,20.0403,16.3,63,100,4.12,ZA,1682168504
57,tuktoyaktuk,69.4541,-133.0374,-20.23,96,100,6.45,CA,1682168504
58,vaini,-21.2,-175.2,24.8,70,4,5.25,TO,1682168505
59,zhezkazgan,47.8043,67.7144,16.99,14,0,9.0,KZ,1682168505
60,vanimo,-2.6741,141.3028,25.94,86,100,1.75,PG,1682168506
61,alta floresta,-9.8756,-56.0861,24.12,94,100,2.07,BR,1682168507
62,port alfred,-33.5906,26.891,20.1,55,100,1.34,ZA,1682168507
